,enter_time,leave_time
flow_4_0,70.0,126.0
flow_16_0,89.0,176.0
flow_5_0,100.0,127.0
flow_5_1,102.0,129.0
flow_5_2,117.0,156.0
flow_4_1,130.0,157.0
flow_17_0,130.0,176.0
flow_4_2,132.0,159.0
flow_5_3,134.0,160.0
flow_4_3,135.0,162.0
flow_4_4,137.0,164.0
flow_5_4,137.0,163.0
flow_16_1,140.0,180.0
flow_4_5,140.0,166.0
flow_4_6,142.0,169.0
flow_4_7,180.0,207.0
flow_4_8,182.0,209.0
flow_16_2,190.0,306.0
flow_4_9,200.0,225.0
flow_5_5,200.0,225.0
flow_4_10,202.0,228.0
flow_5_6,202.0,228.0
flow_4_11,205.0,230.0
flow_5_7,205.0,230.0
flow_17_1,210.0,306.0
flow_4_12,217.0,242.0
flow_4_13,220.0,245.0
flow_5_8,229.0,266.0
flow_5_9,231.0,270.0
flow_5_10,234.0,272.0
flow_5_11,236.0,275.0
flow_5_12,239.0,277.0
flow_4_14,240.0,267.0
flow_5_13,267.0,292.0
flow_4_15,267.0,292.0
flow_5_14,270.0,295.0
flow_4_16,270.0,295.0
flow_5_15,272.0,297.0
flow_4_17,300.0,336.0
flow_4_18,302.0,340.0
flow_5_16,320.0,345.0
flow_16_3,320.0,356.0
flow_4_19,320.0,345.0
flow_16_4,322.0,360.0
flow_4_20,322.0,348.0
flow_5_17,323.0,348.0
flow_4_21,340.0,396.0
flow_16_5,340.0,365.0
flow_5_18,340.0,396.0
flow_16_6,342.0,368.0
flow_4_22,342.0,400.0
flow_5_19,370.0,400.0
flow_5_20,373.0,402.0
flow_5_21,375.0,405.0
flow_5_22,377.0,407.0
flow_4_23,380.0,405.0
flow_5_23,380.0,410.0
flow_4_24,382.0,408.0
flow_4_25,400.0,425.0
flow_4_26,402.0,428.0
flow_17_2,410.0,516.0
flow_17_3,412.0,520.0
flow_5_24,420.0,447.0
flow_5_25,422.0,449.0
flow_5_26,425.0,486.0
flow_5_27,427.0,490.0
flow_17_4,430.0,522.0
flow_5_28,430.0,506.0
flow_4_27,430.0,486.0
flow_4_28,432.0,490.0
flow_17_5,432.0,525.0
flow_4_29,437.0,506.0
flow_4_30,440.0,509.0
flow_4_31,442.0,546.0
flow_5_29,449.0,510.0
flow_4_32,460.0,550.0
flow_4_33,467.0,552.0
flow_4_34,470.0,555.0
flow_17_6,470.0,527.0
flow_17_7,472.0,530.0
flow_4_35,489.0,557.0
flow_17_8,489.0,532.0
flow_5_30,490.0,546.0
flow_17_9,492.0,535.0
flow_5_31,492.0,550.0
flow_4_36,492.0,560.0
flow_5_32,507.0,552.0
flow_5_33,510.0,555.0
flow_16_7,510.0,535.0
flow_5_34,512.0,557.0
flow_16_8,512.0,538.0
flow_5_35,515.0,560.0
flow_16_9,540.0,576.0
flow_16_10,542.0,580.0
flow_5_36,550.0,596.0
flow_5_37,552.0,600.0
flow_4_37,559.0,596.0
flow_4_38,562.0,600.0
flow_4_39,564.0,602.0
flow_4_40,566.0,605.0
flow_5_38,567.0,602.0
flow_4_41,569.0,607.0
flow_17_10,570.0,626.0
flow_5_39,570.0,605.0
flow_4_42,571.0,610.0
flow_17_11,572.0,630.0
flow_5_40,587.0,612.0
flow_5_41,590.0,615.0
flow_4_43,600.0,636.0
flow_4_44,602.0,640.0
flow_5_42,609.0,636.0
flow_16_11,610.0,646.0
flow_16_12,612.0,650.0
flow_4_45,620.0,656.0
flow_4_46,622.0,660.0
flow_4_47,637.0,686.0
flow_4_48,640.0,690.0
flow_16_13,640.0,667.0
flow_16_14,642.0,669.0
flow_4_49,659.0,706.0
flow_4_50,662.0,710.0
flow_5_43,664.0,689.0
flow_5_44,667.0,706.0
flow_5_45,669.0,710.0
flow_17_12,670.0,776.0
flow_5_46,672.0,712.0
flow_17_13,672.0,780.0
flow_5_47,690.0,715.0
flow_4_51,690.0,715.0
flow_4_52,692.0,718.0
flow_5_48,693.0,718.0
flow_5_49,695.0,720.0
flow_5_50,697.0,723.0
flow_5_51,700.0,725.0
flow_16_15,710.0,776.0
flow_4_53,719.0,766.0
flow_5_52,719.0,766.0
flow_4_54,722.0,770.0
flow_17_14,739.0,796.0
flow_17_15,741.0,799.0
flow_4_55,749.0,786.0
flow_5_53,750.0,786.0
flow_4_56,752.0,790.0
flow_5_54,753.0,790.0
flow_5_55,757.0,816.0
flow_5_56,760.0,820.0
flow_17_16,770.0,836.0
flow_4_57,777.0,816.0
flow_4_58,780.0,820.0
flow_16_16,780.0,836.0
flow_4_59,782.0,822.0
flow_4_60,800.0,825.0
flow_4_61,803.0,828.0
flow_5_57,807.0,856.0
flow_16_17,809.0,840.0
flow_5_58,810.0,860.0
flow_16_18,812.0,906.0
flow_5_59,829.0,862.0
flow_4_62,830.0,857.0
flow_5_60,831.0,865.0
flow_4_63,832.0,859.0
flow_5_61,834.0,867.0
flow_5_62,836.0,870.0
flow_17_17,840.0,906.0
flow_4_64,860.0,896.0
flow_4_65,862.0,900.0
flow_4_66,865.0,916.0
flow_5_63,877.0,916.0
flow_4_67,877.0,920.0
flow_4_68,880.0,946.0
flow_5_64,880.0,920.0
flow_4_69,886.0,949.0
flow_16_19,890.0,956.0
flow_16_20,892.0,960.0
flow_5_65,897.0,946.0
flow_16_21,898.0,962.0
flow_5_66,900.0,950.0
flow_17_18,950.0,1006.0
flow_4_70,950.0,977.0
flow_4_71,952.0,979.0
flow_17_19,952.0,1010.0
flow_4_72,957.0,982.0
flow_4_73,960.0,985.0
flow_5_67,960.0,985.0
flow_5_68,962.0,988.0
flow_4_74,962.0,987.0
flow_4_75,965.0,990.0
flow_4_76,970.0,995.0
flow_5_69,980.0,1016.0
flow_5_70,982.0,1020.0
flow_5_71,985.0,1022.0
flow_5_72,987.0,1025.0
flow_17_20,990.0,1046.0
flow_5_73,990.0,1027.0
flow_16_22,990.0,1046.0
flow_5_74,992.0,1030.0
flow_17_21,992.0,1049.0
flow_5_75,1007.0,1056.0
flow_4_77,1010.0,1056.0
flow_4_78,1012.0,1060.0
flow_17_22,1030.0,1066.0
flow_4_79,1040.0,1096.0
flow_4_80,1042.0,1100.0
flow_4_81,1045.0,1116.0
flow_4_82,1047.0,1120.0
flow_16_23,1070.0,1136.0
flow_16_24,1072.0,1140.0
flow_16_25,1077.0,1206.0
flow_4_83,1080.0,1146.0
flow_5_76,1080.0,1116.0
flow_4_84,1082.0,1149.0
flow_5_77,1082.0,1120.0
flow_5_78,1099.0,1146.0
flow_4_85,1100.0,1166.0
flow_4_86,1102.0,1169.0
flow_5_79,1102.0,1149.0
flow_16_26,1119.0,1209.0
flow_4_87,1120.0,1186.0
flow_5_80,1140.0,1166.0
flow_17_23,1140.0,1206.0
flow_4_88,1140.0,1190.0
flow_4_89,1142.0,1216.0
flow_17_24,1142.0,1210.0
flow_5_81,1143.0,1169.0
flow_4_90,1147.0,1220.0
flow_4_91,1150.0,1222.0
flow_17_25,1160.0,1236.0
flow_5_82,1160.0,1187.0
flow_5_83,1162.0,1189.0
flow_17_26,1162.0,1239.0
flow_5_84,1165.0,1216.0
flow_5_85,1167.0,1220.0
flow_5_86,1170.0,1222.0
flow_5_87,1172.0,1225.0
flow_5_88,1175.0,1227.0
flow_16_27,1177.0,1236.0
flow_5_89,1177.0,1230.0
flow_5_90,1179.0,1246.0
flow_16_28,1180.0,1240.0
flow_4_92,1187.0,1225.0
flow_4_93,1190.0,1227.0
flow_4_94,1192.0,1230.0
flow_4_95,1198.0,1246.0
flow_4_96,1220.0,1250.0
flow_5_91,1237.0,1262.0
flow_4_97,1239.0,1264.0
flow_5_92,1240.0,1265.0
flow_4_98,1242.0,1267.0
flow_4_99,1246.0,1271.0
flow_17_27,1250.0,1346.0
flow_5_93,1257.0,1282.0
flow_5_94,1260.0,1285.0
flow_4_100,1269.0,1306.0
flow_16_29,1270.0,1346.0
flow_17_28,1270.0,1350.0
flow_4_101,1272.0,1310.0
flow_17_29,1273.0,1366.0
flow_16_30,1299.0,1350.0
flow_5_95,1300.0,1336.0
flow_5_96,1302.0,1340.0
flow_16_31,1302.0,1366.0
flow_5_97,1305.0,1356.0
flow_5_98,1307.0,1359.0
flow_5_99,1310.0,1376.0
flow_4_102,1310.0,1337.0
flow_4_103,1312.0,1339.0
flow_5_100,1312.0,1380.0
flow_5_101,1330.0,1396.0
flow_4_104,1330.0,1357.0
flow_5_102,1332.0,1400.0
flow_4_105,1332.0,1359.0
flow_5_103,1335.0,1402.0
flow_4_106,1349.0,1376.0
flow_4_107,1352.0,1379.0
flow_5_104,1380.0,1405.0
flow_16_32,1380.0,1446.0
flow_5_105,1382.0,1408.0
flow_4_108,1390.0,1415.0
flow_4_109,1392.0,1418.0
flow_4_110,1397.0,1422.0
flow_4_111,1400.0,1425.0
flow_17_30,1409.0,1446.0
flow_5_106,1410.0,1435.0
flow_17_31,1411.0,1450.0
flow_5_107,1412.0,1438.0
flow_4_112,1417.0,1456.0
flow_4_113,1420.0,1460.0
flow_5_108,1430.0,1457.0
flow_5_109,1432.0,1459.0
flow_5_110,1450.0,1475.0
flow_4_114,1460.0,1496.0
flow_4_115,1462.0,1500.0
flow_4_116,1465.0,1502.0
flow_4_117,1467.0,1505.0
flow_16_33,1470.0,1536.0
flow_16_34,1472.0,1540.0
flow_5_111,1480.0,1505.0
flow_5_112,1482.0,1508.0
flow_17_32,1490.0,1536.0
flow_17_33,1492.0,1539.0
flow_5_113,1500.0,1566.0
flow_4_118,1500.0,1566.0
flow_16_35,1500.0,1586.0
flow_5_114,1502.0,1570.0
flow_4_119,1502.0,1570.0
flow_5_115,1520.0,1572.0
flow_5_116,1522.0,1575.0
flow_5_117,1525.0,1577.0
flow_5_118,1527.0,1580.0
flow_4_120,1530.0,1572.0
flow_5_119,1530.0,1606.0
flow_4_121,1532.0,1575.0
flow_4_122,1537.0,1577.0
flow_4_123,1540.0,1580.0
flow_5_120,1550.0,1610.0
flow_17_34,1550.0,1586.0
flow_17_35,1552.0,1589.0
flow_4_124,1570.0,1606.0
flow_16_36,1570.0,1646.0
flow_16_37,1572.0,1650.0
flow_4_125,1577.0,1610.0
flow_4_126,1580.0,1612.0
flow_5_121,1590.0,1615.0
flow_5_122,1592.0,1618.0
flow_5_123,1595.0,1620.0
flow_5_124,1597.0,1636.0
flow_5_125,1619.0,1676.0
flow_4_127,1620.0,1676.0
flow_5_126,1622.0,1680.0
flow_4_128,1622.0,1680.0
flow_17_36,1630.0,1686.0
flow_5_127,1640.0,1696.0
flow_4_129,1640.0,1696.0
flow_5_128,1642.0,1700.0
flow_4_130,1642.0,1699.0
flow_16_38,1660.0,1687.0
flow_16_39,1662.0,1689.0
flow_17_37,1669.0,1726.0
flow_4_131,1670.0,1702.0
flow_17_38,1671.0,1730.0
flow_4_132,1672.0,1705.0
flow_5_129,1680.0,1705.0
flow_5_130,1682.0,1708.0
flow_4_133,1690.0,1715.0
flow_4_134,1692.0,1718.0
flow_5_131,1707.0,1736.0
flow_5_132,1710.0,1740.0
flow_5_133,1712.0,1742.0
flow_4_135,1720.0,1745.0
flow_4_136,1722.0,1748.0
flow_5_134,1730.0,1755.0
flow_5_135,1733.0,1758.0
flow_4_137,1750.0,1775.0
flow_4_138,1752.0,1778.0
flow_4_139,1755.0,1780.0
flow_4_140,1757.0,1806.0
flow_4_141,1760.0,1810.0
flow_16_40,1760.0,1787.0
