,enter_time,leave_time
flow_19_0,31.0,96.0
flow_9_0,69.0,106.0
flow_19_1,71.0,99.0
flow_9_1,72.0,110.0
flow_9_2,87.0,112.0
flow_9_3,94.0,119.0
flow_8_0,96.0,121.0
flow_8_1,99.0,124.0
flow_9_4,106.0,131.0
flow_8_2,109.0,134.0
flow_9_5,130.0,157.0
flow_8_3,137.0,162.0
flow_18_0,139.0,186.0
flow_19_2,140.0,186.0
flow_8_4,140.0,165.0
flow_9_6,149.0,174.0
flow_9_7,152.0,177.0
flow_8_5,159.0,196.0
flow_8_6,162.0,199.0
flow_9_8,169.0,196.0
flow_9_9,172.0,199.0
flow_19_3,180.0,246.0
flow_8_7,180.0,205.0
flow_8_8,183.0,208.0
flow_9_10,190.0,215.0
flow_9_11,193.0,218.0
flow_19_4,200.0,250.0
flow_8_9,204.0,229.0
flow_8_10,207.0,232.0
flow_9_12,210.0,235.0
flow_8_11,217.0,256.0
flow_9_13,227.0,256.0
flow_9_14,230.0,259.0
flow_9_15,250.0,277.0
flow_18_1,250.0,296.0
flow_9_16,257.0,282.0
flow_19_5,260.0,296.0
flow_8_12,260.0,285.0
flow_8_13,262.0,288.0
flow_9_17,262.0,287.0
flow_8_14,265.0,290.0
flow_9_18,274.0,316.0
flow_18_2,280.0,305.0
flow_18_3,282.0,308.0
flow_8_15,290.0,316.0
flow_8_16,293.0,319.0
flow_9_19,300.0,325.0
flow_19_6,300.0,336.0
flow_9_20,302.0,328.0
flow_19_7,311.0,339.0
flow_8_17,317.0,346.0
flow_9_21,320.0,347.0
flow_8_18,320.0,350.0
flow_9_22,327.0,352.0
flow_9_23,347.0,372.0
flow_9_24,350.0,375.0
flow_18_4,359.0,396.0
flow_19_8,360.0,396.0
flow_8_19,360.0,385.0
flow_18_5,361.0,400.0
flow_8_20,362.0,388.0
flow_8_21,367.0,406.0
flow_8_22,370.0,410.0
flow_9_25,370.0,406.0
flow_9_26,373.0,410.0
flow_8_23,397.0,426.0
flow_9_27,397.0,426.0
flow_8_24,400.0,430.0
flow_9_28,400.0,429.0
flow_8_25,402.0,432.0
flow_9_29,419.0,466.0
flow_8_26,420.0,466.0
flow_9_30,422.0,470.0
flow_8_27,423.0,470.0
flow_19_9,430.0,476.0
flow_19_10,433.0,480.0
flow_9_31,450.0,486.0
flow_8_28,450.0,486.0
flow_18_6,450.0,477.0
flow_8_29,452.0,490.0
flow_9_32,452.0,490.0
flow_18_7,452.0,479.0
flow_8_30,470.0,495.0
flow_8_31,472.0,498.0
flow_9_33,480.0,505.0
flow_9_34,482.0,508.0
flow_8_32,487.0,512.0
flow_9_35,487.0,512.0
flow_18_8,489.0,526.0
flow_9_36,490.0,515.0
flow_8_33,490.0,515.0
flow_8_34,493.0,518.0
flow_9_37,510.0,537.0
flow_19_11,510.0,546.0
flow_19_12,513.0,550.0
flow_8_35,530.0,566.0
flow_8_36,537.0,570.0
flow_9_38,540.0,567.0
flow_9_39,542.0,569.0
flow_8_37,544.0,572.0
flow_8_38,547.0,575.0
flow_9_40,547.0,572.0
flow_18_9,550.0,586.0
flow_9_41,550.0,575.0
flow_8_39,569.0,596.0
flow_8_40,572.0,599.0
flow_9_42,579.0,616.0
flow_19_13,580.0,636.0
flow_9_43,582.0,620.0
flow_8_41,594.0,619.0
flow_9_44,597.0,623.0
flow_8_42,597.0,622.0
flow_9_45,600.0,625.0
flow_18_10,610.0,637.0
flow_18_11,612.0,639.0
flow_19_14,620.0,666.0
flow_9_46,620.0,647.0
flow_9_47,623.0,649.0
flow_8_43,640.0,676.0
flow_8_44,642.0,680.0
flow_19_15,660.0,696.0
flow_9_48,660.0,685.0
flow_9_49,662.0,688.0
flow_8_45,670.0,716.0
flow_8_46,672.0,720.0
flow_8_47,675.0,722.0
flow_19_16,690.0,746.0
flow_9_50,690.0,717.0
flow_18_12,690.0,746.0
flow_9_51,692.0,719.0
flow_8_48,700.0,725.0
flow_8_49,702.0,728.0
flow_9_52,720.0,756.0
flow_8_50,720.0,756.0
flow_8_51,722.0,759.0
flow_9_53,722.0,760.0
flow_9_54,725.0,762.0
flow_9_55,727.0,765.0
flow_9_56,730.0,767.0
flow_18_13,730.0,776.0
flow_18_14,732.0,780.0
flow_9_57,757.0,786.0
flow_8_52,760.0,786.0
flow_9_58,760.0,789.0
flow_8_53,763.0,789.0
flow_8_54,765.0,791.0
flow_8_55,767.0,794.0
flow_8_56,770.0,796.0
flow_19_17,770.0,806.0
