,enter_time,leave_time
flow_7_0,80.0,105.0
flow_7_1,82.0,108.0
flow_7_2,85.0,110.0
flow_7_3,94.0,119.0
flow_6_0,100.0,125.0
flow_6_1,102.0,128.0
flow_6_2,109.0,146.0
flow_7_4,117.0,146.0
flow_19_0,119.0,156.0
flow_7_5,120.0,149.0
flow_6_3,121.0,149.0
flow_19_1,122.0,160.0
flow_7_6,147.0,172.0
flow_18_0,149.0,196.0
flow_7_7,150.0,175.0
flow_6_4,150.0,175.0
flow_7_8,154.0,179.0
flow_6_5,167.0,206.0
flow_6_6,170.0,210.0
flow_6_7,172.0,212.0
flow_19_2,190.0,236.0
flow_7_9,190.0,215.0
flow_7_10,192.0,218.0
flow_7_11,210.0,256.0
flow_18_1,210.0,237.0
flow_7_12,212.0,260.0
flow_7_13,229.0,262.0
flow_7_14,232.0,265.0
flow_6_8,240.0,265.0
flow_6_9,243.0,268.0
flow_7_15,249.0,296.0
flow_19_3,250.0,277.0
flow_18_2,250.0,277.0
flow_18_3,252.0,279.0
flow_7_16,252.0,300.0
flow_6_10,260.0,296.0
flow_6_11,263.0,300.0
flow_7_17,269.0,316.0
flow_7_18,274.0,320.0
flow_6_12,280.0,316.0
flow_6_13,283.0,320.0
flow_19_4,290.0,326.0
flow_18_4,290.0,326.0
flow_19_5,292.0,330.0
flow_6_14,307.0,336.0
flow_19_6,309.0,356.0
flow_6_15,310.0,339.0
flow_6_16,312.0,342.0
flow_6_17,315.0,344.0
flow_6_18,317.0,347.0
flow_7_19,320.0,345.0
flow_7_20,322.0,348.0
flow_6_19,324.0,350.0
flow_7_21,325.0,350.0
flow_6_20,327.0,366.0
flow_18_5,349.0,386.0
flow_7_22,350.0,375.0
flow_19_7,350.0,386.0
flow_18_6,351.0,390.0
flow_7_23,352.0,378.0
flow_7_24,355.0,380.0
flow_7_25,358.0,396.0
flow_6_21,367.0,396.0
flow_7_26,370.0,400.0
flow_6_22,370.0,400.0
flow_6_23,372.0,402.0
flow_18_7,389.0,446.0
flow_7_27,390.0,426.0
flow_6_24,407.0,432.0
flow_7_28,409.0,434.0
flow_6_25,410.0,435.0
flow_7_29,412.0,437.0
flow_6_26,430.0,457.0
flow_6_27,432.0,459.0
flow_6_28,437.0,462.0
flow_19_8,440.0,496.0
flow_6_29,440.0,465.0
flow_7_30,450.0,475.0
flow_7_31,452.0,478.0
flow_6_30,460.0,485.0
flow_6_31,462.0,488.0
flow_18_8,469.0,496.0
flow_7_32,470.0,516.0
flow_18_9,472.0,499.0
flow_7_33,472.0,520.0
flow_7_34,477.0,522.0
flow_19_9,479.0,546.0
flow_7_35,480.0,525.0
flow_6_32,480.0,516.0
flow_19_10,482.0,550.0
flow_7_36,500.0,527.0
flow_6_33,507.0,532.0
flow_6_34,510.0,535.0
flow_6_35,512.0,537.0
flow_6_36,517.0,556.0
flow_19_11,520.0,566.0
flow_7_37,520.0,556.0
flow_19_12,539.0,570.0
flow_6_37,539.0,576.0
flow_7_38,550.0,577.0
flow_7_39,552.0,579.0
flow_7_40,555.0,582.0
flow_7_41,557.0,584.0
flow_7_42,562.0,587.0
flow_6_38,570.0,595.0
flow_18_10,570.0,626.0
flow_6_39,573.0,598.0
flow_7_43,590.0,615.0
flow_7_44,592.0,618.0
flow_6_40,594.0,619.0
flow_6_41,597.0,636.0
flow_6_42,599.0,640.0
flow_7_45,609.0,636.0
flow_18_11,610.0,656.0
flow_7_46,612.0,639.0
flow_18_12,612.0,660.0
flow_6_43,617.0,643.0
flow_6_44,620.0,645.0
flow_19_13,640.0,696.0
flow_7_47,640.0,666.0
flow_7_48,643.0,669.0
flow_7_49,659.0,686.0
flow_19_14,660.0,700.0
flow_6_45,660.0,687.0
flow_7_50,662.0,689.0
flow_6_46,662.0,689.0
flow_6_47,680.0,707.0
flow_18_13,680.0,746.0
flow_6_48,682.0,709.0
flow_6_49,697.0,722.0
flow_6_50,700.0,725.0
flow_7_51,700.0,725.0
flow_7_52,702.0,728.0
flow_7_53,705.0,730.0
flow_7_54,707.0,733.0
flow_18_14,710.0,750.0
flow_7_55,727.0,756.0
flow_7_56,730.0,759.0
flow_19_15,740.0,767.0
flow_6_51,740.0,776.0
flow_19_16,742.0,769.0
flow_6_52,742.0,780.0
flow_6_53,745.0,806.0
flow_6_54,747.0,809.0
flow_7_57,757.0,806.0
flow_19_17,759.0,786.0
flow_7_58,760.0,810.0
flow_18_15,760.0,787.0
flow_6_55,780.0,826.0
flow_6_56,782.0,830.0
flow_7_59,789.0,826.0
flow_18_16,790.0,836.0
flow_7_60,792.0,830.0
flow_18_17,793.0,840.0
flow_7_61,810.0,846.0
flow_6_57,820.0,846.0
flow_19_18,820.0,856.0
