,enter_time,leave_time
flow_14_0,31.0,56.0
flow_2_0,31.0,66.0
flow_2_1,43.0,70.0
flow_2_2,60.0,86.0
flow_14_1,80.0,107.0
flow_2_3,80.0,116.0
flow_2_4,82.0,120.0
flow_2_5,100.0,136.0
flow_2_6,103.0,140.0
flow_14_2,111.0,146.0
flow_2_7,115.0,156.0
flow_3_0,139.0,164.0
flow_15_0,139.0,176.0
flow_2_8,140.0,165.0
flow_3_1,141.0,166.0
flow_2_9,142.0,168.0
flow_3_2,156.0,186.0
flow_3_3,159.0,190.0
flow_2_10,170.0,195.0
flow_2_11,172.0,198.0
flow_3_4,176.0,201.0
flow_3_5,179.0,216.0
flow_2_12,190.0,217.0
flow_14_3,190.0,236.0
flow_2_13,192.0,219.0
flow_14_4,193.0,240.0
flow_2_14,199.0,224.0
flow_3_6,220.0,247.0
flow_3_7,222.0,249.0
flow_2_15,230.0,255.0
flow_2_16,232.0,258.0
flow_2_17,235.0,260.0
flow_14_5,240.0,326.0
flow_15_1,240.0,326.0
flow_3_8,246.0,276.0
flow_3_9,248.0,280.0
flow_3_10,251.0,282.0
flow_3_11,270.0,295.0
flow_2_18,270.0,295.0
flow_2_19,272.0,298.0
flow_3_12,273.0,298.0
flow_3_13,289.0,314.0
flow_2_20,290.0,315.0
flow_3_14,291.0,317.0
flow_2_21,292.0,318.0
flow_3_15,303.0,336.0
flow_3_16,306.0,340.0
flow_2_22,310.0,337.0
flow_14_6,310.0,346.0
flow_2_23,312.0,339.0
flow_14_7,313.0,350.0
flow_2_24,319.0,356.0
flow_15_2,320.0,347.0
flow_15_3,322.0,349.0
flow_15_4,325.0,366.0
flow_3_17,326.0,356.0
flow_2_25,331.0,359.0
flow_3_18,350.0,386.0
flow_2_26,350.0,386.0
flow_3_19,353.0,390.0
flow_2_27,355.0,389.0
flow_14_8,360.0,406.0
flow_15_5,366.0,406.0
flow_2_28,367.0,393.0
flow_15_6,368.0,410.0
flow_3_20,369.0,394.0
flow_3_21,371.0,397.0
flow_2_29,390.0,417.0
flow_2_30,393.0,419.0
flow_2_31,403.0,428.0
flow_3_22,409.0,434.0
flow_3_23,411.0,436.0
flow_2_32,420.0,456.0
flow_2_33,427.0,460.0
flow_3_24,440.0,496.0
flow_14_9,440.0,467.0
flow_3_25,442.0,500.0
flow_14_10,442.0,469.0
flow_2_34,450.0,496.0
flow_2_35,453.0,500.0
flow_2_36,470.0,516.0
flow_15_7,470.0,506.0
flow_15_8,472.0,510.0
flow_2_37,475.0,520.0
flow_3_26,480.0,516.0
flow_3_27,482.0,519.0
flow_15_9,489.0,546.0
flow_3_28,500.0,525.0
flow_2_38,500.0,525.0
flow_3_29,502.0,528.0
flow_2_39,502.0,528.0
flow_2_40,520.0,556.0
flow_3_30,520.0,556.0
flow_3_31,522.0,559.0
flow_2_41,523.0,560.0
flow_3_32,525.0,586.0
flow_14_11,530.0,576.0
flow_14_12,532.0,580.0
flow_2_42,535.0,586.0
flow_3_33,550.0,590.0
flow_3_34,552.0,592.0
flow_14_13,560.0,606.0
flow_15_10,560.0,606.0
flow_3_35,570.0,595.0
flow_2_43,570.0,595.0
flow_2_44,572.0,598.0
flow_3_36,572.0,598.0
flow_2_45,575.0,600.0
flow_15_11,579.0,610.0
flow_2_46,583.0,616.0
flow_14_14,600.0,646.0
flow_3_37,610.0,635.0
flow_2_47,610.0,635.0
flow_2_48,612.0,638.0
flow_3_38,612.0,638.0
flow_2_49,619.0,656.0
flow_15_12,620.0,647.0
flow_3_39,627.0,656.0
flow_3_40,630.0,660.0
flow_2_50,640.0,665.0
flow_2_51,643.0,668.0
flow_3_41,649.0,674.0
