,enter_time,leave_time
flow_7_0,40.0,65.0
flow_7_1,43.0,68.0
flow_7_2,55.0,80.0
flow_7_3,67.0,96.0
flow_7_4,90.0,115.0
flow_7_5,93.0,118.0
flow_7_6,120.0,145.0
flow_7_7,122.0,148.0
flow_6_0,127.0,152.0
flow_6_1,130.0,155.0
flow_6_2,136.0,161.0
flow_7_8,140.0,165.0
flow_7_9,142.0,168.0
flow_6_3,148.0,173.0
flow_21_0,150.0,256.0
flow_7_10,151.0,176.0
flow_21_1,152.0,260.0
flow_7_11,163.0,188.0
flow_6_4,177.0,202.0
flow_7_12,180.0,205.0
flow_7_13,187.0,212.0
flow_6_5,194.0,219.0
flow_6_6,197.0,222.0
flow_6_7,199.0,224.0
flow_7_14,199.0,224.0
flow_7_15,211.0,236.0
flow_7_16,223.0,248.0
flow_7_17,235.0,266.0
flow_7_18,260.0,316.0
flow_21_2,260.0,326.0
flow_7_19,262.0,320.0
flow_21_3,262.0,330.0
flow_6_8,267.0,316.0
flow_20_0,270.0,326.0
flow_6_9,270.0,320.0
flow_7_20,271.0,336.0
flow_20_1,272.0,330.0
flow_7_21,290.0,340.0
flow_6_10,300.0,336.0
flow_6_11,302.0,339.0
flow_21_4,309.0,356.0
flow_7_22,310.0,342.0
flow_21_5,312.0,360.0
flow_7_23,312.0,345.0
flow_7_24,319.0,347.0
flow_6_12,320.0,345.0
flow_6_13,322.0,348.0
flow_6_14,325.0,350.0
flow_6_15,327.0,366.0
flow_20_2,329.0,356.0
flow_20_3,331.0,359.0
flow_7_25,331.0,366.0
flow_7_26,343.0,370.0
flow_20_4,349.0,376.0
flow_21_6,350.0,377.0
flow_6_16,350.0,386.0
flow_20_5,352.0,379.0
flow_6_17,352.0,390.0
flow_7_27,355.0,386.0
flow_6_18,355.0,392.0
flow_6_19,357.0,395.0
flow_6_20,360.0,397.0
flow_7_28,367.0,392.0
flow_6_21,397.0,446.0
flow_6_22,400.0,450.0
flow_20_6,409.0,466.0
flow_21_7,410.0,466.0
flow_7_29,410.0,446.0
flow_21_8,412.0,470.0
flow_20_7,412.0,469.0
flow_7_30,412.0,450.0
flow_6_23,430.0,455.0
flow_7_31,430.0,455.0
flow_6_24,432.0,458.0
flow_7_32,432.0,458.0
flow_6_25,435.0,460.0
flow_7_33,435.0,460.0
flow_6_26,437.0,476.0
flow_7_34,439.0,476.0
flow_6_27,440.0,480.0
flow_7_35,460.0,496.0
flow_7_36,463.0,500.0
flow_6_28,467.0,496.0
flow_6_29,470.0,500.0
flow_7_37,475.0,526.0
flow_6_30,483.0,526.0
flow_21_9,490.0,517.0
flow_21_10,492.0,519.0
flow_6_31,500.0,530.0
flow_20_8,500.0,536.0
flow_20_9,502.0,540.0
flow_21_11,509.0,536.0
flow_7_38,510.0,546.0
flow_7_39,512.0,550.0
flow_7_40,515.0,552.0
flow_7_41,523.0,555.0
flow_7_42,535.0,560.0
flow_20_10,539.0,586.0
flow_6_32,540.0,576.0
flow_6_33,542.0,580.0
flow_20_11,542.0,590.0
flow_6_34,545.0,596.0
flow_7_43,547.0,576.0
flow_6_35,547.0,599.0
flow_6_36,550.0,602.0
flow_7_44,559.0,596.0
flow_21_12,570.0,656.0
flow_7_45,580.0,605.0
flow_7_46,583.0,608.0
flow_7_47,600.0,626.0
flow_6_37,600.0,627.0
flow_6_38,602.0,629.0
flow_7_48,607.0,632.0
flow_21_13,609.0,660.0
flow_6_39,619.0,644.0
flow_6_40,621.0,646.0
flow_6_41,624.0,649.0
flow_6_42,626.0,651.0
flow_7_49,630.0,666.0
flow_21_14,630.0,676.0
flow_7_50,633.0,670.0
flow_7_51,643.0,696.0
flow_7_52,655.0,700.0
flow_20_12,680.0,716.0
flow_7_53,680.0,705.0
flow_20_13,682.0,720.0
flow_7_54,682.0,708.0
flow_6_43,689.0,726.0
flow_6_44,692.0,730.0
flow_7_55,700.0,727.0
flow_7_56,703.0,729.0
flow_21_15,710.0,776.0
flow_6_45,710.0,735.0
